,charcount,wordcount,sentencecount,standby,number of standby,roadblock number,chars prodocued,words produced,sentences produced,chars deleted,words deleted,sentences deleted,change in charcount,change in wordcount,change in sentencecount,5rSUMMARY charcount,5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
0,1,870,162,11,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,870,162,11,True,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,11.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,896,168,11,False,1,0,26.0,6.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,163.5,11.0,0.25,0.5,0.0,6.0,0.0,0.0,0.0,6.0,0.0
3,4,916,169,11,False,1,0,20.0,1.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,164.6,11.0,0.2,0.6,0.0,7.0,0.0,0.0,0.0,7.0,0.0
4,5,953,174,11,False,1,0,37.0,5.0,0.0,37.0,5.0,0.0,0.0,0.0,0.0,166.16666666666666,11.0,0.1666666666666666,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,12.0,0.0
5,6,953,175,11,False,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,167.42857142857142,11.0,0.1428571428571428,0.7142857142857143,0.0,13.0,0.0,0.0,0.0,13.0,0.0
6,7,953,175,11,True,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.375,11.0,0.25,0.875,0.0,13.0,0.0,0.0,0.0,13.0,0.0
7,8,953,175,11,True,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.11111111111111,11.0,0.3333333333333333,1.1111111111111112,0.0,13.0,0.0,0.0,0.0,13.0,0.0
8,9,953,175,11,True,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.7,11.0,0.4,1.4,0.0,13.0,0.0,0.0,0.0,13.0,0.0
9,10,953,175,11,True,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.1818181818182,11.0,0.4545454545454545,1.7272727272727273,0.0,13.0,0.0,0.0,0.0,13.0,0.0
