,new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
0,False,21,5,0,0,False,False,0,,,,,,,,,,0.9139580726623535,0.9139649868011475,5.0,0.0,0.0,0.0,0.0,,,,,,
0,False,22,5,1,0,False,False,0,,,,,,,,,,0.8643062114715576,0.8643162250518799,5.0,1.0,0.0,0.0,0.0,,,,,,
1,True,22,5,1,0,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.221534967422485,0.8643162250518799,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,True,22,5,1,1,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.559006929397583,0.8643162250518799,5.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
3,False,36,7,1,1,False,True,1,14.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,16.87451410293579,16.87447714805603,5.5,1.0,0.25,0.5,0.5,2.0,0.0,0.0,0.0,2.0,0.0
0,False,41,8,2,0,False,False,0,,,,,,,,,,1.1059472560882568,1.1059520244598389,8.0,2.0,0.0,0.0,0.0,,,,,,
1,True,42,8,2,0,False,False,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.43123722076416,1.1059520244598389,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,True,42,8,2,0,False,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.759891986846924,1.1059520244598389,8.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
3,True,42,8,2,1,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.103837251663208,1.1059520244598389,8.0,2.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0,False,0,0,0,0,False,False,0,,,,,,,,,,0.9892821311950684,0.9892849922180176,0.0,0.0,0.0,0.0,0.0,,,,,,
0,False,0,0,0,0,False,False,0,,,,,,,,,,1.0427300930023193,1.0427360534667969,0.0,0.0,0.0,0.0,0.0,,,,,,
1,False,7,1,1,0,False,True,1,7.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,6.361254930496216,6.361201047897339,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0
2,True,7,1,1,0,False,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6619291305542,6.361201047897339,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,1.0
3,True,7,1,1,1,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92391800880432,6.361201047897339,0.75,0.75,0.25,0.25,0.75,1.0,1.0,0.0,0.0,1.0,1.0
4,False,29,7,1,1,False,True,1,22.0,6.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,22.198880195617676,22.19881820678711,2.0,0.8,0.2,0.4,0.8,7.0,1.0,0.0,0.0,7.0,1.0
5,False,52,12,2,1,False,False,1,23.0,5.0,1.0,23.0,5.0,1.0,0.0,0.0,0.0,27.46222710609436,27.462199211120605,3.6666666666666665,1.0,0.16666666666666666,0.5,0.8333333333333334,12.0,2.0,0.0,0.0,12.0,2.0
6,True,52,12,2,1,False,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75220584869385,27.462199211120605,4.857142857142857,1.1428571428571428,0.14285714285714285,0.5714285714285714,0.8571428571428571,12.0,2.0,0.0,0.0,12.0,2.0
7,True,52,12,2,2,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.03973412513733,27.462199211120605,5.75,1.25,0.25,0.75,0.875,12.0,2.0,0.0,0.0,12.0,2.0
8,True,52,12,2,3,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.28677201271057,27.462199211120605,6.444444444444445,1.3333333333333333,0.3333333333333333,1.0,0.8888888888888888,12.0,2.0,0.0,0.0,12.0,2.0
9,True,52,12,2,4,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.56366801261902,27.462199211120605,7.0,1.4,0.4,1.3,0.9,12.0,2.0,0.0,0.0,12.0,2.0
10,True,52,12,2,5,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8583619594574,27.462199211120605,7.454545454545454,1.4545454545454546,0.45454545454545453,1.6363636363636365,0.9090909090909091,12.0,2.0,0.0,0.0,12.0,2.0
11,True,52,12,2,6,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.147088050842285,27.462199211120605,7.833333333333333,1.5,0.5,2.0,0.9166666666666666,12.0,2.0,0.0,0.0,12.0,2.0
12,True,52,12,2,7,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.46122097969055,27.462199211120605,8.153846153846153,1.5384615384615385,0.5384615384615384,2.3846153846153846,0.9230769230769231,12.0,2.0,0.0,0.0,12.0,2.0
13,True,52,12,2,8,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.76263618469238,27.462199211120605,8.428571428571429,1.5714285714285714,0.5714285714285714,2.7857142857142856,0.9285714285714286,12.0,2.0,0.0,0.0,12.0,2.0
14,False,74,17,2,8,False,True,1,22.0,5.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0,75.02347922325134,75.02345514297485,9.0,1.6,0.5333333333333333,3.1333333333333333,0.9333333333333333,17.0,2.0,0.0,0.0,17.0,2.0
15,False,93,19,3,8,False,False,1,19.0,2.0,1.0,19.0,2.0,1.0,0.0,0.0,0.0,80.28365015983582,80.28358697891235,9.625,1.6875,0.5,3.4375,0.9375,19.0,3.0,0.0,0.0,19.0,3.0
16,True,93,19,3,8,False,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.55934691429138,80.28358697891235,10.176470588235293,1.7647058823529411,0.47058823529411764,3.7058823529411766,0.9411764705882353,19.0,3.0,0.0,0.0,19.0,3.0
17,True,93,19,3,9,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.82958793640137,80.28358697891235,10.666666666666666,1.8333333333333333,0.5,4.0,0.9444444444444444,19.0,3.0,0.0,0.0,19.0,3.0
18,True,93,19,3,10,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.12672591209412,80.28358697891235,11.105263157894736,1.894736842105263,0.5263157894736842,4.315789473684211,0.9473684210526315,19.0,3.0,0.0,0.0,19.0,3.0
19,True,93,19,3,11,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.40188598632812,80.28358697891235,11.5,1.95,0.55,4.65,0.95,19.0,3.0,0.0,0.0,19.0,3.0
20,False,130,25,3,11,False,True,1,37.0,6.0,0.0,37.0,6.0,0.0,0.0,0.0,0.0,106.6812059879303,106.68117618560791,12.142857142857142,2.0,0.5238095238095238,4.9523809523809526,0.9523809523809523,25.0,3.0,0.0,0.0,25.0,3.0
21,False,167,33,3,11,False,False,1,37.0,8.0,0.0,37.0,8.0,0.0,0.0,0.0,0.0,111.92578911781311,111.92576789855957,13.090909090909092,2.0454545454545454,0.5,5.2272727272727275,0.9545454545454546,33.0,3.0,0.0,0.0,33.0,3.0
22,False,201,39,3,11,False,True,1,34.0,6.0,0.0,34.0,6.0,0.0,0.0,0.0,0.0,117.17369604110718,117.17366099357605,14.217391304347826,2.0869565217391304,0.4782608695652174,5.478260869565218,0.9565217391304348,39.0,3.0,0.0,0.0,39.0,3.0
23,False,228,42,3,11,False,True,1,27.0,3.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,122.42409920692444,122.42406296730042,15.375,2.125,0.4583333333333333,5.708333333333333,0.9583333333333334,42.0,3.0,0.0,0.0,42.0,3.0
24,False,242,45,3,11,False,True,1,14.0,3.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,127.66359615325928,127.66357612609863,16.56,2.16,0.44,5.92,0.96,45.0,3.0,0.0,0.0,45.0,3.0
