,5rSUMMARY mean_0,5rSUMMARY mean_d_h2h1_0,5rSUMMARY mean_q1_0,5rSUMMARY mean_q2_0,5rSUMMARY mean_q3_0,5rSUMMARY mean_q4_0,5rSUMMARY mean_d_q1q2_0,5rSUMMARY mean_d_q1q3_0,5rSUMMARY mean_d_q1q4_0,5rSUMMARY mean_d_q2q3_0,5rSUMMARY mean_d_q2q4_0,5rSUMMARY mean_d_q3q4_0,5rSUMMARY std_0,5rSUMMARY std_d_h2h1_0,5rSUMMARY max_0,5rSUMMARY max_d_h2h1_0,5rSUMMARY max_q1_0,5rSUMMARY max_q2_0,5rSUMMARY max_q3_0,5rSUMMARY max_q4_0,5rSUMMARY max_d_q1q2_0,5rSUMMARY max_d_q1q3_0,5rSUMMARY max_d_q1q4_0,5rSUMMARY max_d_q2q3_0,5rSUMMARY max_d_q2q4_0,5rSUMMARY max_d_q3q4_0,5rSUMMARY min_0,5rSUMMARY min_d_h2h1_0,5rSUMMARY min_q1_0,5rSUMMARY min_q2_0,5rSUMMARY min_q3_0,5rSUMMARY min_q4_0,5rSUMMARY min_d_q1q2_0,5rSUMMARY min_d_q1q3_0,5rSUMMARY min_d_q1q4_0,5rSUMMARY min_d_q2q3_0,5rSUMMARY min_d_q2q4_0,5rSUMMARY min_d_q3q4_0,5rSUMMARY topFreq_1_0,5rSUMMARY topFreq_2_0,5rSUMMARY topFreq_3_0,5rSUMMARY topFreq_4_0,5rSUMMARY topFreq_5_0,5rSUMMARY topFreq_6_0,5rSUMMARY topFreq_7_0,5rSUMMARY topFreq_8_0,5rSUMMARY topFreq_9_0,5rSUMMARY topFreq_10_0,5rSUMMARY freq_011_0,5rSUMMARY freq_021_0,5rSUMMARY freq_032_0,5rSUMMARY freq_043_0,5rSUMMARY freq_053_0,5rSUMMARY freq_064_0,5rSUMMARY freq_075_0,5rSUMMARY freq_085_0,5rSUMMARY freq_096_0,5rSUMMARY freq_107_0,5rSUMMARY freq_117_0,5rSUMMARY freq_128_0,5rSUMMARY freq_139_0,5rSUMMARY freq_149_0,5rSUMMARY freq_160_0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,51327926.801143,102655834.77280782,14.210578548070293,4.618899062996195,2.3269963137778706,205311686.0480978,9.591679485074097,11.883582234292435,-205311671.8375186,2.2919027492183277,-205311681.42919782,-205311683.72110057,290352358.97034204,410620047.22941,1642481371.987895,1642481181.1371567,125.93597981709179,175.44151753460017,72.39972137559089,1642481371.987895,-49.5055377175081,53.536258441500834,-1642481246.0519145,103.0417961590091,-1642481196.5463789,-1642481299.5881717,-183.6823060498333,111.40995106519658,-58.85142200080126,-168.43809960067804,-59.2399387347289,0.0,109.58667759987708,0.38851673392765357,-58.85142200080126,-109.19816086594975,-168.43809960067804,-59.2399387347289,3.0800000000000005,4.3866666666666685,9.928000000000043,8.757333333333335,11.181333333333326,11.194666666666665,10.1386666666667,13.546666666666711,14.077333333333357,13.976000000000006,0.12500048922342136,0.12499966474743371,0.12499928911354749,0.12499966202133025,0.12500030910351131,0.12500047613039023,0.12500003366394827,0.12499952825894872,0.12499948654924639,0.12499991904252875,0.12500030625772449,0.12500029563001303,0.12500004295024772,0.12499988839607519,0.12499992478891897
800,51327931.78864582,102655836.82273585,17.910961607095388,8.843593170036632,-1.7813093625005152,205311702.18133354,9.067368437058887,19.692270969595917,-205311684.2703723,10.624902532537085,-205311693.33774403,-205311703.96264592,290352358.3282204,410620049.28951395,1642481373.456189,1642481188.8766317,142.41983626696276,169.14769925195506,56.96294253053208,1642481373.456189,-26.72786298499144,85.45689373642941,-1642481231.0363462,112.1847567214208,-1642481204.3085134,-1642481316.4932444,-172.31167041652282,70.03587219071233,-56.695245227197745,-143.3420412040054,-76.68964274080861,0.0,86.64679597680822,19.994397513611347,-56.695245227197745,-66.65239846319702,-143.3420412040054,-76.68964274080861,2.5199999999999867,4.946666666666684,9.28000000000003,9.919999999999954,10.666666666666597,11.6266666666667,9.890666666666677,14.109333333333293,14.000000000000027,13.306666666666711,0.1250004983644272,0.12499966667379306,0.12499927944151581,0.12499965548073184,0.12500031155240804,0.12500048194356234,0.12500004125926878,0.12499952634493505,0.12499947849537195,0.12499990628731691,0.12500030353160077,0.1250003026954839,0.12500006060829538,0.12499988863036414,0.12499992845897333
1200,51327930.911255494,102655838.03898273,16.951625884705578,6.831900984641591,4.468537773640454,205311695.39295363,10.119724900063959,12.483088111065157,-205311678.44132787,2.363363211001131,-205311688.56105697,-205311690.9244188,290352358.7502241,410620047.57388365,1642481374.8915482,1642481182.020397,146.72819554323115,168.49537682545647,73.59993843141153,1642481374.8915482,-21.767181282226392,73.12825711181877,-1642481228.1633472,94.89543839404527,-1642481206.396182,-1642481301.2916117,-163.8449140232768,113.70868071443704,-54.89900941342402,-152.91697028422047,-43.306530085250344,0.0,98.01796087079876,-11.592479328172915,-54.89900941342402,-109.61044019897125,-152.91697028422047,-43.306530085250344,2.5066666666666535,4.960000000000019,10.149333333333377,8.061333333333371,11.656000000000029,11.35466666666668,10.106666666666671,14.58933333333328,13.40000000000006,13.4826666666667,0.12500049411465522,0.12499966883307126,0.1249992837834701,0.12499965679923446,0.12500031282505458,0.1250004795917668,0.12500004333455306,0.12499952627657597,0.1249994837819959,0.12499990459009983,0.12500030352412314,0.1250003020938342,0.12500005903303735,0.12499989268678019,0.12499992699233109
1600,51327922.94597344,102655826.73062977,14.245859733680115,4.915455834947482,0.9349538605878925,205311671.68762192,9.33040389873258,13.310905873092175,-205311657.4417597,3.980501974359565,-205311666.7721683,-205311670.7526708,290352360.480147,410620053.65966016,1642481376.4068592,1642481195.6907272,122.04683552576154,162.9330122728733,69.408108643539,1642481376.4068592,-40.88617674711271,52.638726882220645,-1642481254.3600245,93.52490362933324,-1642481213.4738522,-1642481306.9987357,-180.66477725245974,92.78494818403269,-57.193890621908,-157.08386060017477,-67.3947158841566,0.0,99.88996997826662,10.200825262248527,-57.193890621908,-89.68914471601926,-157.08386060017477,-67.3947158841566,3.240000000000005,4.226666666666664,10.128000000000027,9.344,10.394666666666614,12.266666666666756,9.365333333333327,14.063999999999982,13.808000000000039,13.42933333333337,0.12500048789852702,0.1249996709815763,0.12499929840040327,0.12499965782511004,0.12500030177981297,0.12500047001990292,0.1250000422173558,0.12499953841228054,0.12499949152261874,0.12499990550622814,0.1250002943237839,0.12500029957760522,0.12500005639096912,0.12499989743393478,0.12499991882911253
2000,51327925.18690972,102655825.14542264,17.250232371473647,7.978162842950942,0.8627967889716308,205311674.65644425,9.272069528522616,16.387435582501933,-205311657.40621185,7.115366053979176,-205311666.67828304,-205311673.79364792,290352360.3314298,410620050.21482086,1642481377.8328054,1642481190.5605958,151.52215807460885,165.51760293321982,78.74328707148628,1642481377.8328054,-13.995444858610867,72.77887100311979,-1642481226.310646,86.7743158617307,-1642481212.3152006,-1642481299.0895145,-181.06285898959794,89.28396802339621,-58.76149213463799,-164.29608496065882,-77.24907051465121,0.0,105.53459282602334,18.487578380014348,-58.76149213463799,-87.04701444600809,-164.29608496065882,-77.24907051465121,2.266666666666657,5.200000000000025,9.901333333333378,8.477333333333334,11.488000000000024,11.834666666666719,9.669333333333334,14.34399999999998,13.261333333333402,13.824000000000014,0.12500048819268622,0.1249996762655738,0.12499929147321785,0.12499966499985565,0.1250003038344278,0.12500047183624738,0.12500002897070595,0.12499953144906346,0.12499948740688538,0.12499991275488856,0.1250002987078033,0.12500029437033913,0.12500005157648725,0.12499988880614037,0.12499993162677728
2400,51327924.54583005,102655825.37640817,15.43791447512419,8.277335707433142,-1.4410942848049342,205311675.9091613,7.160578767690896,16.87900875992891,-205311660.47124758,9.718429992237846,-205311667.6318276,-205311677.35025823,290352360.7222559,410620049.90261626,1642481379.3334403,1642481180.008082,130.8956100719133,180.07054925921983,56.55284488558945,1642481379.3334403,-49.17493918730702,74.3427651863211,-1642481248.4378364,123.51770437362947,-1642481199.262925,-1642481322.780607,-179.26120693985638,84.9809336539319,-57.24457405338916,-154.76245001682403,-73.52435391222387,0.0,97.51787596343728,16.27977985883497,-57.24457405338916,-81.2380961046026,-154.76245001682403,-73.52435391222387,3.0399999999999996,4.426666666666669,10.765333333333372,7.658666666666692,11.442666666666671,11.930666666666745,9.871999999999991,13.879999999999962,13.434666666666725,13.816000000000015,0.12500048774623798,0.12499967016106275,0.12499929523177024,0.12499966483085839,0.12500030493954617,0.12500047221225363,0.12500003211649385,0.12499953049070055,0.12499949289382449,0.12499991258893367,0.12500030649630206,0.12500028926717055,0.12500005165930314,0.12499988282077178,0.12499993540074385
2800,51327932.78033389,102655839.53090931,16.21558703798569,9.814170095577024,1.7674675880325825,205311703.3241088,6.401416942408398,14.448119449952975,-205311687.10852197,8.046702507544437,-205311693.50994015,-205311701.55664304,290352359.5090807,410620044.9930471,1642481380.9190392,1642481187.3145185,138.85242975150769,183.25533147521313,74.88509777372953,1642481380.9190392,-44.40290172370601,63.967331977775586,-1642481242.0666094,108.37023370148292,-1642481197.6637228,-1642481306.033946,-171.83716717569206,91.38148123627604,-59.84471046194366,-155.37686351835399,-66.22530288453508,0.0,95.5321530564127,6.3805924225923505,-59.84471046194366,-89.15156063381966,-155.37686351835399,-66.22530288453508,2.7199999999999904,4.746666666666679,11.296000000000054,7.090666666666721,11.480000000000036,11.490666666666725,10.090666666666664,14.111999999999941,13.541333333333387,13.69866666666669,0.12500049490804468,0.12499966619385898,0.12499927537233291,0.12499965775559,0.12500031017167518,0.12500048853751722,0.12500003878738178,0.12499952842357098,0.12499948068123859,0.12499991052805769,0.1250003054793753,0.12500030453465155,0.12500005622439164,0.12499988664822974,0.12499992435581732
3200,51327932.54813603,102655845.20959614,14.857225055191815,5.029450597127424,1.3923962510895023,205311708.91347173,9.827774458064113,13.464828804102224,-205311694.0562455,3.6370543460380014,-205311703.88402167,-205311707.5210756,290352359.8526299,410620042.9109039,1642481382.5694244,1642481185.8206205,132.2720971100579,181.14335217164123,76.00615367998367,1642481382.5694244,-48.871255061583916,56.26594343007205,-1642481250.2973075,105.13719849165746,-1642481201.4260724,-1642481306.5632598,-193.80356454738782,103.20370434290419,-61.00829370385912,-170.4956471101428,-70.3424638499639,0.0,109.48735340628583,9.334170146104734,-61.00829370385912,-100.15318326018014,-170.4956471101428,-70.3424638499639,3.093333333333334,4.373333333333335,9.605333333333299,8.717333333333361,11.544000000000024,10.410666666666598,11.181333333333406,15.034666666666626,12.397333333333407,13.909333333333343,0.12500049589084053,0.12499965861648438,0.12499927626342622,0.12499965673241618,0.12500031704044282,0.1250004845153458,0.12500003619255473,0.12499951860938281,0.12499947733986481,0.12499991107021748,0.12500030898064293,0.12500029734012508,0.1250000468608806,0.1249998845894724,0.12499992715500381
3600,51327931.30550711,102655833.67431034,16.739052338827438,12.197648931965018,-0.6804778630045734,205311696.9658018,4.541403406862122,17.419530201832025,-205311680.2267487,12.878126794969662,-205311684.76815355,-205311697.64628246,290352360.3808297,410620048.095069,1642481384.2216983,1642481185.421325,139.54350338848263,183.85774183699937,61.516945305636554,1642481384.2216983,-44.31423844851708,78.02655808284368,-1642481244.6781936,122.34079653136224,-1642481200.3639627,-1642481322.7047477,-179.67815132750258,86.42847212326434,-58.70162884942372,-154.02610338715945,-72.44519980961326,0.0,95.32447453773639,13.743570960189961,-58.70162884942372,-81.58090357754634,-154.02610338715945,-72.44519980961326,2.5999999999999868,4.866666666666682,9.287999999999984,9.378666666666685,11.200000000000005,11.466666666666686,9.866666666666635,14.586666666666652,12.629333333333438,14.383999999999983,0.12500049275381764,0.12499966784864709,0.12499928389011818,0.12499966145997982,0.12500031244348203,0.12500047660151092,0.12500003079188468,0.12499952057302359,0.12499948485752746,0.1249999155837746,0.1250003082865381,0.12500029636342236,0.1250000471572484,0.12499988325160843,0.12499993171668937
