,new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
0,False,0,0,0,0,False,False,0,,,,,,,,,,1.006514072418213,1.006516933441162,0.0,0.0,0.0,0.0,0.0,,,,,,
1,True,0,0,0,0,False,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.452804803848267,1.006516933441162,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0,0,0,1,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.200430870056152,1.006516933441162,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0,0,0,2,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.611762046813965,1.006516933441162,0.0,0.0,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0
4,False,15,1,0,2,False,True,1,15.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,23.170812845230103,23.170772075653076,0.2,0.0,0.4,1.0,0.8,1.0,0.0,0.0,0.0,1.0,0.0
5,False,27,2,0,2,False,True,1,12.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,29.006967067718506,29.006914138793945,0.5,0.0,0.3333333333333333,1.1666666666666667,0.8333333333333334,2.0,0.0,0.0,0.0,2.0,0.0
6,True,27,2,0,2,False,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.37334084510803,29.006914138793945,0.7142857142857143,0.0,0.2857142857142857,1.2857142857142858,0.8571428571428571,2.0,0.0,0.0,0.0,2.0,0.0
7,True,27,2,0,3,True,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.71071100234985,29.006914138793945,0.875,0.0,0.375,1.5,0.875,2.0,0.0,0.0,0.0,2.0,0.0
8,False,48,5,0,3,False,True,1,21.0,3.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,45.18367099761963,45.183621883392334,1.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,0.8888888888888888,5.0,0.0,0.0,0.0,5.0,0.0
9,False,54,7,0,3,False,True,1,6.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,50.853564977645874,50.853513956069946,1.9,0.0,0.3,1.8,0.9,7.0,0.0,0.0,0.0,7.0,0.0
